precinct,candidate,votes
Banks Township,TIMOTHY HENNING (LIB),5
Beaver Meadows Borough,TIMOTHY HENNING (LIB),11
Bowmanstown Borough,TIMOTHY HENNING (LIB),13
East Penn Township - South,TIMOTHY HENNING (LIB),15
East Penn Township - North,TIMOTHY HENNING (LIB),17
East Side Borough,TIMOTHY HENNING (LIB),4
Franklin Township - Independent,TIMOTHY HENNING (LIB),9
Franklin Township - Harrity,TIMOTHY HENNING (LIB),22
Franklin Township - Long Run,TIMOTHY HENNING (LIB),11
Jim Thorpe Borough - First Ward,TIMOTHY HENNING (LIB),19
Jim Thorpe Borough - Second Ward,TIMOTHY HENNING (LIB),15
Jim Thorpe Borough - Third Ward,TIMOTHY HENNING (LIB),22
Jim Thorpe Borough - Fourth Ward,TIMOTHY HENNING (LIB),4
Jim Thorpe Borough - Fifth Ward,TIMOTHY HENNING (LIB),18
Kidder Township - North,TIMOTHY HENNING (LIB),6
Kidder Township - South,TIMOTHY HENNING (LIB),14
Lansford Borough - East,TIMOTHY HENNING (LIB),18
Lansford Borough - Middle,TIMOTHY HENNING (LIB),6
Lansford Borough - West,TIMOTHY HENNING (LIB),7
Lausanne Township,TIMOTHY HENNING (LIB),2
Lehigh Township,TIMOTHY HENNING (LIB),4
Lehighton Borough - First Ward,TIMOTHY HENNING (LIB),34
