precinct,candidate,votes
Summit Hill Borough - Third Ward/First,JOHN ZUGAREK (DEM),151
Summit Hill Borough - Third Ward/First,DAVE ARGALL (REP),317
Summit Hill Borough - Third Ward/Second,JOHN ZUGAREK (DEM),76
Summit Hill Borough - Third Ward/Second,DAVE ARGALL (REP),204
Towamensing Township - North,JOHN ZUGAREK (DEM),249
Towamensing Township - North,DAVE ARGALL (REP),634
Towamensing Township - South-1,JOHN ZUGAREK (DEM),212
Towamensing Township - South-1,DAVE ARGALL (REP),690
Towamensing Township - South-2,JOHN ZUGAREK (DEM),201
Towamensing Township - South-2,DAVE ARGALL (REP),572
Weatherly Borough - East,JOHN ZUGAREK (DEM),194
Weatherly Borough - East,DAVE ARGALL (REP),547
Weatherly Borough - West,JOHN ZUGAREK (DEM),85
Weatherly Borough - West,DAVE ARGALL (REP),294
Weissport Borough,JOHN ZUGAREK (DEM),37
Weissport Borough,DAVE ARGALL (REP),103
