precinct,method,candidate,votes
Lower Providence 1-1,Election Day,UnresolvedWrite-In,0
Lower Providence 1-1,Mail-in,UnresolvedWrite-In,0
Lower Providence 1-1,Provisional,UnresolvedWrite-In,0
Lower Providence 1-1,Total,UnresolvedWrite-In,0
Lower Providence 1-2,Election Day,UnresolvedWrite-In,0
Lower Providence 1-2,Mail-in,UnresolvedWrite-In,0
Lower Providence 1-2,Provisional,UnresolvedWrite-In,0
Lower Providence 1-2,Total,UnresolvedWrite-In,0
Lower Providence 2-1,Election Day,UnresolvedWrite-In,****
Lower Providence 2-1,Mail-in,UnresolvedWrite-In,****
Lower Providence 2-1,Provisional,UnresolvedWrite-In,****
Lower Providence 2-1,Total,UnresolvedWrite-In,0
Lower Providence 2-2,Election Day,UnresolvedWrite-In,3
Lower Providence 2-2,Mail-in,UnresolvedWrite-In,5
Lower Providence 2-2,Provisional,UnresolvedWrite-In,0
Lower Providence 2-2,Total,UnresolvedWrite-In,8
Lower Providence 2-3,Election Day,UnresolvedWrite-In,2
Lower Providence 2-3,Mail-in,UnresolvedWrite-In,0
Lower Providence 2-3,Provisional,UnresolvedWrite-In,0
Lower Providence 2-3,Total,UnresolvedWrite-In,2
Lower Providence 2-4,Election Day,UnresolvedWrite-In,2
Lower Providence 2-4,Mail-in,UnresolvedWrite-In,0
Lower Providence 2-4,Provisional,UnresolvedWrite-In,0
Lower Providence 2-4,Total,UnresolvedWrite-In,2
