0,1,2
Precinct,Times Cast,"Registered 
Voters"
Souderton 2,,
Election Day,"1,008","1,593"
Mail-in,275,"1,593"
Provisional,12,"1,593"
Total,"1,295","1,593"
Souderton 3,,
Election Day,845,"1,310"
Mail-in,187,"1,310"
Provisional,5,"1,310"
Total,"1,037","1,310"
Telford,,
Election Day,"1,073","1,723"
Mail-in,322,"1,723"
Provisional,17,"1,723"
Total,"1,412","1,723"
Franconia 1,,
Election Day,665,"1,028"
Mail-in,238,"1,028"
Provisional,7,"1,028"
Total,910,"1,028"
Franconia 2,,
Election Day,971,"1,564"
Mail-in,377,"1,564"
Provisional,5,"1,564"
Total,"1,353","1,564"
Franconia 3,,
Election Day,936,"1,521"
Mail-in,393,"1,521"
Provisional,8,"1,521"
Total,"1,337","1,521"
