precinct,candidate,votes
Lehighton Borough - Second Ward,REECE SMITH (LIB),13
Lehighton Borough - Second Ward,ERIC K ANTON (ASP),3
Lehighton Borough - Second Ward,BOB GOODRICH (CON),6
Lehighton Borough - Third Ward,REECE SMITH (LIB),17
Lehighton Borough - Third Ward,ERIC K ANTON (ASP),1
Lehighton Borough - Third Ward,BOB GOODRICH (CON),7
Lower Towamensing Township - North,REECE SMITH (LIB),21
Lower Towamensing Township - North,ERIC K ANTON (ASP),3
Lower Towamensing Township - North,BOB GOODRICH (CON),7
Lower Towamensing Township - South,REECE SMITH (LIB),12
Lower Towamensing Township - South,ERIC K ANTON (ASP),0
Lower Towamensing Township - South,BOB GOODRICH (CON),7
Mahoning Township - Mahoning,REECE SMITH (LIB),24
Mahoning Township - Mahoning,ERIC K ANTON (ASP),6
Mahoning Township - Mahoning,BOB GOODRICH (CON),11
Mahoning Township - New Mahoning,REECE SMITH (LIB),9
Mahoning Township - New Mahoning,ERIC K ANTON (ASP),1
Mahoning Township - New Mahoning,BOB GOODRICH (CON),3
Mahoning Township - Packerton/Jamestown,REECE SMITH (LIB),9
Mahoning Township - Packerton/Jamestown,ERIC K ANTON (ASP),1
Mahoning Township - Packerton/Jamestown,BOB GOODRICH (CON),10
Nesquehoning Borough - East,REECE SMITH (LIB),18
Nesquehoning Borough - East,ERIC K ANTON (ASP),4
Nesquehoning Borough - East,BOB GOODRICH (CON),8
Nesquehoning Borough - West,REECE SMITH (LIB),16
Nesquehoning Borough - West,ERIC K ANTON (ASP),6
Nesquehoning Borough - West,BOB GOODRICH (CON),11
Packer Township,REECE SMITH (LIB),5
Packer Township,ERIC K ANTON (ASP),2
Packer Township,BOB GOODRICH (CON),6
Palmerton Borough - East,REECE SMITH (LIB),25
Palmerton Borough - East,ERIC K ANTON (ASP),3
Palmerton Borough - East,BOB GOODRICH (CON),11
Palmerton Borough - Middle,REECE SMITH (LIB),34
Palmerton Borough - Middle,ERIC K ANTON (ASP),5
Palmerton Borough - Middle,BOB GOODRICH (CON),10
Palmerton Borough - West,REECE SMITH (LIB),11
Palmerton Borough - West,ERIC K ANTON (ASP),2
Palmerton Borough - West,BOB GOODRICH (CON),4
Parryville Borough,REECE SMITH (LIB),6
Parryville Borough,ERIC K ANTON (ASP),2
Parryville Borough,BOB GOODRICH (CON),4
Penn Forest Township - Southwest,REECE SMITH (LIB),11
Penn Forest Township - Southwest,ERIC K ANTON (ASP),1
Penn Forest Township - Southwest,BOB GOODRICH (CON),5
Penn Forest Township - Northwest,REECE SMITH (LIB),25
Penn Forest Township - Northwest,ERIC K ANTON (ASP),6
Penn Forest Township - Northwest,BOB GOODRICH (CON),10
Penn Forest Township - Middle,REECE SMITH (LIB),17
Penn Forest Township - Middle,ERIC K ANTON (ASP),1
Penn Forest Township - Middle,BOB GOODRICH (CON),4
Penn Forest Township - Northeast,REECE SMITH (LIB),21
Penn Forest Township - Northeast,ERIC K ANTON (ASP),0
Penn Forest Township - Northeast,BOB GOODRICH (CON),15
Penn Forest Township - East,REECE SMITH (LIB),15
Penn Forest Township - East,ERIC K ANTON (ASP),5
Penn Forest Township - East,BOB GOODRICH (CON),6
Summit Hill Borough - First Ward,REECE SMITH (LIB),3
Summit Hill Borough - First Ward,ERIC K ANTON (ASP),1
Summit Hill Borough - First Ward,BOB GOODRICH (CON),3
Summit Hill Borough - Second Ward,REECE SMITH (LIB),10
Summit Hill Borough - Second Ward,ERIC K ANTON (ASP),2
Summit Hill Borough - Second Ward,BOB GOODRICH (CON),2
