precinct,candidate,votes
Lehighton Borough - Second Ward,MALCOLM KENYATTA (DEM),264
Lehighton Borough - Second Ward,TIM DEFOOR (REP),438
Lehighton Borough - Third Ward,MALCOLM KENYATTA (DEM),288
Lehighton Borough - Third Ward,TIM DEFOOR (REP),508
Lower Towamensing Township - North,MALCOLM KENYATTA (DEM),252
Lower Towamensing Township - North,TIM DEFOOR (REP),751
Lower Towamensing Township - South,MALCOLM KENYATTA (DEM),208
Lower Towamensing Township - South,TIM DEFOOR (REP),516
Mahoning Township - Mahoning,MALCOLM KENYATTA (DEM),383
Mahoning Township - Mahoning,TIM DEFOOR (REP),964
Mahoning Township - New Mahoning,MALCOLM KENYATTA (DEM),116
Mahoning Township - New Mahoning,TIM DEFOOR (REP),385
Mahoning Township - Packerton/Jamestown,MALCOLM KENYATTA (DEM),110
Mahoning Township - Packerton/Jamestown,TIM DEFOOR (REP),279
Nesquehoning Borough - East,MALCOLM KENYATTA (DEM),249
Nesquehoning Borough - East,TIM DEFOOR (REP),431
Nesquehoning Borough - West,MALCOLM KENYATTA (DEM),282
Nesquehoning Borough - West,TIM DEFOOR (REP),466
Packer Township,MALCOLM KENYATTA (DEM),108
Packer Township,TIM DEFOOR (REP),506
Palmerton Borough - East,MALCOLM KENYATTA (DEM),252
Palmerton Borough - East,TIM DEFOOR (REP),572
Palmerton Borough - Middle,MALCOLM KENYATTA (DEM),431
Palmerton Borough - Middle,TIM DEFOOR (REP),748
Palmerton Borough - West,MALCOLM KENYATTA (DEM),121
Palmerton Borough - West,TIM DEFOOR (REP),266
Parryville Borough,MALCOLM KENYATTA (DEM),56
Parryville Borough,TIM DEFOOR (REP),148
Penn Forest Township - Southwest,MALCOLM KENYATTA (DEM),372
Penn Forest Township - Southwest,TIM DEFOOR (REP),687
Penn Forest Township - Northwest,MALCOLM KENYATTA (DEM),390
Penn Forest Township - Northwest,TIM DEFOOR (REP),910
Penn Forest Township - Middle,MALCOLM KENYATTA (DEM),276
Penn Forest Township - Middle,TIM DEFOOR (REP),532
Penn Forest Township - Northeast,MALCOLM KENYATTA (DEM),432
Penn Forest Township - Northeast,TIM DEFOOR (REP),782
Penn Forest Township - East,MALCOLM KENYATTA (DEM),401
Penn Forest Township - East,TIM DEFOOR (REP),698
Summit Hill Borough - First Ward,MALCOLM KENYATTA (DEM),154
Summit Hill Borough - First Ward,TIM DEFOOR (REP),214
Summit Hill Borough - Second Ward,MALCOLM KENYATTA (DEM),165
Summit Hill Borough - Second Ward,TIM DEFOOR (REP),208
