precinct,candidate,votes
Banks Township,REECE SMITH (LIB),5
Banks Township,ERIC K ANTON (ASP),1
Banks Township,BOB GOODRICH (CON),5
Beaver Meadows Borough,REECE SMITH (LIB),13
Beaver Meadows Borough,ERIC K ANTON (ASP),1
Beaver Meadows Borough,BOB GOODRICH (CON),2
Bowmanstown Borough,REECE SMITH (LIB),12
Bowmanstown Borough,ERIC K ANTON (ASP),0
Bowmanstown Borough,BOB GOODRICH (CON),1
East Penn Township - South,REECE SMITH (LIB),15
East Penn Township - South,ERIC K ANTON (ASP),0
East Penn Township - South,BOB GOODRICH (CON),7
East Penn Township - North,REECE SMITH (LIB),14
East Penn Township - North,ERIC K ANTON (ASP),1
East Penn Township - North,BOB GOODRICH (CON),6
East Side Borough,REECE SMITH (LIB),6
East Side Borough,ERIC K ANTON (ASP),0
East Side Borough,BOB GOODRICH (CON),3
Franklin Township - Independent,REECE SMITH (LIB),9
Franklin Township - Independent,ERIC K ANTON (ASP),1
Franklin Township - Independent,BOB GOODRICH (CON),11
Franklin Township - Harrity,REECE SMITH (LIB),15
Franklin Township - Harrity,ERIC K ANTON (ASP),1
Franklin Township - Harrity,BOB GOODRICH (CON),10
Franklin Township - Long Run,REECE SMITH (LIB),11
Franklin Township - Long Run,ERIC K ANTON (ASP),2
Franklin Township - Long Run,BOB GOODRICH (CON),7
Jim Thorpe Borough - First Ward,REECE SMITH (LIB),20
Jim Thorpe Borough - First Ward,ERIC K ANTON (ASP),4
Jim Thorpe Borough - First Ward,BOB GOODRICH (CON),9
Jim Thorpe Borough - Second Ward,REECE SMITH (LIB),9
Jim Thorpe Borough - Second Ward,ERIC K ANTON (ASP),2
Jim Thorpe Borough - Second Ward,BOB GOODRICH (CON),6
Jim Thorpe Borough - Third Ward,REECE SMITH (LIB),14
Jim Thorpe Borough - Third Ward,ERIC K ANTON (ASP),2
Jim Thorpe Borough - Third Ward,BOB GOODRICH (CON),5
Jim Thorpe Borough - Fourth Ward,REECE SMITH (LIB),4
Jim Thorpe Borough - Fourth Ward,ERIC K ANTON (ASP),2
Jim Thorpe Borough - Fourth Ward,BOB GOODRICH (CON),5
Jim Thorpe Borough - Fifth Ward,REECE SMITH (LIB),16
Jim Thorpe Borough - Fifth Ward,ERIC K ANTON (ASP),1
Jim Thorpe Borough - Fifth Ward,BOB GOODRICH (CON),8
Kidder Township - North,REECE SMITH (LIB),5
Kidder Township - North,ERIC K ANTON (ASP),0
Kidder Township - North,BOB GOODRICH (CON),1
Kidder Township - South,REECE SMITH (LIB),17
Kidder Township - South,ERIC K ANTON (ASP),3
Kidder Township - South,BOB GOODRICH (CON),3
Lansford Borough - East,REECE SMITH (LIB),23
Lansford Borough - East,ERIC K ANTON (ASP),6
Lansford Borough - East,BOB GOODRICH (CON),12
Lansford Borough - Middle,REECE SMITH (LIB),10
Lansford Borough - Middle,ERIC K ANTON (ASP),0
Lansford Borough - Middle,BOB GOODRICH (CON),1
Lansford Borough - West,REECE SMITH (LIB),11
Lansford Borough - West,ERIC K ANTON (ASP),1
Lansford Borough - West,BOB GOODRICH (CON),8
Lausanne Township,REECE SMITH (LIB),2
Lausanne Township,ERIC K ANTON (ASP),1
Lausanne Township,BOB GOODRICH (CON),1
Lehigh Township,REECE SMITH (LIB),6
Lehigh Township,ERIC K ANTON (ASP),4
Lehigh Township,BOB GOODRICH (CON),1
Lehighton Borough - First Ward,REECE SMITH (LIB),23
Lehighton Borough - First Ward,ERIC K ANTON (ASP),4
Lehighton Borough - First Ward,BOB GOODRICH (CON),11
