precinct,candidate,votes
Summit Hill Borough - Third Ward/First,REECE SMITH (LIB),11
Summit Hill Borough - Third Ward/First,ERIC K ANTON (ASP),2
Summit Hill Borough - Third Ward/First,BOB GOODRICH (CON),10
Summit Hill Borough - Third Ward/Second,REECE SMITH (LIB),4
Summit Hill Borough - Third Ward/Second,ERIC K ANTON (ASP),0
Summit Hill Borough - Third Ward/Second,BOB GOODRICH (CON),4
Towamensing Township - North,REECE SMITH (LIB),36
Towamensing Township - North,ERIC K ANTON (ASP),3
Towamensing Township - North,BOB GOODRICH (CON),5
Towamensing Township - South-1,REECE SMITH (LIB),25
Towamensing Township - South-1,ERIC K ANTON (ASP),2
Towamensing Township - South-1,BOB GOODRICH (CON),9
Towamensing Township - South-2,REECE SMITH (LIB),6
Towamensing Township - South-2,ERIC K ANTON (ASP),5
Towamensing Township - South-2,BOB GOODRICH (CON),7
Weatherly Borough - East,REECE SMITH (LIB),15
Weatherly Borough - East,ERIC K ANTON (ASP),1
Weatherly Borough - East,BOB GOODRICH (CON),11
Weatherly Borough - West,REECE SMITH (LIB),4
Weatherly Borough - West,ERIC K ANTON (ASP),0
Weatherly Borough - West,BOB GOODRICH (CON),3
Weissport Borough,REECE SMITH (LIB),5
Weissport Borough,ERIC K ANTON (ASP),3
Weissport Borough,BOB GOODRICH (CON),2
