0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Merion 3-1,,
Election Day,354,814
Mail-in,348,814
Provisional,10,814
Total,712,814
Lower Merion 3-2,,
Election Day,728,"1,473"
Mail-in,536,"1,473"
Provisional,6,"1,473"
Total,"1,270","1,473"
Lower Merion 3-3,,
Election Day,666,"1,079"
Mail-in,218,"1,079"
Provisional,5,"1,079"
Total,889,"1,079"
Lower Merion 4-1,,
Election Day,482,912
Mail-in,240,912
Provisional,0,912
Total,722,912
Lower Merion 4-2,,
Election Day,810,"1,701"
Mail-in,470,"1,701"
Provisional,12,"1,701"
Total,"1,292","1,701"
Lower Merion 4-3,,
Election Day,560,"1,221"
Mail-in,397,"1,221"
Provisional,0,"1,221"
Total,957,"1,221"
