0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Salford 2,,
Election Day,"1,107","1,859"
Mail-in,487,"1,859"
Provisional,5,"1,859"
Total,"1,599","1,859"
Lower Salford 3,,
Election Day,"1,101","1,881"
Mail-in,470,"1,881"
Provisional,16,"1,881"
Total,"1,587","1,881"
Lower Salford 4,,
Election Day,"1,075","1,850"
Mail-in,515,"1,850"
Provisional,8,"1,850"
Total,"1,598","1,850"
Lower Salford 5,,
Election Day,"1,322","2,352"
Mail-in,729,"2,352"
Provisional,15,"2,352"
Total,"2,066","2,352"
Lower Salford 6,,
Election Day,"1,093","2,076"
Mail-in,695,"2,076"
Provisional,15,"2,076"
Total,"1,803","2,076"
Skippack 1,,
Election Day,"1,717","2,944"
Mail-in,791,"2,944"
Provisional,19,"2,944"
Total,"2,527","2,944"
